naics_leaf,description
212,"Mining (except Oil and Gas)"
311,"Food Manufacturing"
312,"Beverage and Tobacco Manufacturing"
314,"Textile Product Mills"
321,"Wood Product Manufacturing"
322,"Paper Manufacturing"
323,"Printing and Related Support Activities"
324,"Petroleum and Coal Products Manufacturing"
325,"Chemical Manufacturing"
326,"Plastics and Rubber Products Manufacturing"
327,"Nonmetallic Mineral Product Manufacturing"
331,"Primary Metal Manufacturing"
332,"Fabricated Metal Product Manufacturing"
333,"Machinery Manufacturing"
334,"Computer and Electronic Product Manufacturing"
335,"Electrical Equipment, Appliance, and Component Manufacturing"
336,"Transportation Equipment Manufacturing"
337,"Furniture and Related Product Manufacturing"
339,"Miscellaneous Manufacturing"
423,"Merchant Wholesalers, Durable Goods"
424,"Merchant Wholesalers, Nondurable Goods"
44719002, "Truck Parking Public - Not From Holguin-Veras"
44719007, "Truck Stops - Not From Holguin-Veras"
454,"Nonstore Retailers"
493,"Warehousing and Storage"
511,"Publishing Industries (except Internet)"
551,"Management of Companies and Enterprises"
